date,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
1984,0.45,16.75,-17,26.7,4.7,126.3,235.6,9.8,14.37,44.5,10.2,14.8,76.2,18.1,114.3,62,17.5,91.5,78.6,20,20.6,-6.3
1985,0.4,1.05,-20.5,26.4,2.6,165.9,205.5,9.47,14.97,37.7,11.4,15,117.7,18.5,50.7,53,9.3,50,75,22.4,21.4,-4.9
1986,2.4,1,-14.2,31.1,0,67.8,160,9.6,14.87,25.8,9.6,16.1,14.9,18.9,119.3,276,7.9,106.5,61.7,21.4,20.6,-3.5
1987,3.02,4.45,-14.4,30,6,134.2,180.4,9.8,14.8,21.9,11.4,14.9,79.2,18.1,79.3,350,58.1,84.3,102,22,21.7,-2.4
1988,2.87,114.53,-16.9,27.7,1.7,143.5,148.1,8.87,15.43,40.3,10.7,15.5,48.9,20.2,58.9,324,89.7,200.9,246.7,20.9,19.8,-4.1
1989,3.31,1.2,-19.8,28.8,3.9,97.8,152.9,9.17,14.47,58.6,10,14.8,18.9,18.6,75.4,379,24.82,83.9,114.6,21.2,19,-6.1
1990,2.67,1.53,-19.6,28.8,0.2,137.3,152.8,9.43,14.3,58.4,8.7,14.8,40.4,19.4,54,315,36.41,153,139.4,22.1,20.2,-4.1
1991,3.55,1.96,-15.4,27.6,-0.7,116.4,151.4,9.03,14.23,32.2,9.7,13.3,88.9,19.7,30.3,413,47.63,18.2,87.7,23.7,20.9,-3.2
1992,3.56,1.28,-25.2,29.1,-1.6,89.8,137.8,10.37,15.67,10.5,12.4,15.8,44.7,18.8,82.6,454,15.7,41.1,213.1,21.7,20.2,-5.5
1993,4.31,1.04,-21.4,27.3,4.4,71.4,151.6,9.33,14.63,9,11,13.3,56.8,19.6,85.8,462,9.7,139,93.9,20.9,19,-7
1994,4.56,1,-18.8,37.5,1.9,34.1,112.3,10.83,16.07,5.2,11.9,17.4,9.3,18.9,97.8,537,8.92,82.6,20.7,22.8,22.9,-4.1
1995,2.07,1,-14.8,30.8,1.5,30.3,52.3,10.67,16.67,12.7,10.2,17.5,8.9,22.3,30.7,243,18.96,60,111.6,23.6,20.6,-4.7
